                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    126,                 1.0196,                0.75734,                 1.0003,                0.20795,                0.26873,                0.24903,                 0.1847,                 1.8756,                 1.9614,                 1.3375,             0.00073437,             0.00073437,             0.00073437
                    127,                 1.0783,                0.77243,                 1.0027,                0.25832,                0.27688,                0.25531,                0.18009,                 1.8572,                 1.9555,                 1.3146,             0.00073025,             0.00073025,             0.00073025
                    128,                 1.0754,                0.78213,                 1.0378,                0.25834,                0.27878,                0.25616,                0.18966,                 1.8774,                 1.9086,                 1.3928,             0.00072612,             0.00072612,             0.00072612
                    129,                0.99803,                0.73724,                0.97598,                0.29009,                0.29105,                0.26457,                 0.1871,                 1.8567,                   1.96,                 1.4351,               0.000722,               0.000722,               0.000722
                    130,                 1.0324,                0.75421,                 1.0023,                0.22897,                0.27022,                0.25647,                0.18581,                 1.8787,                 1.9849,                 1.4477,             0.00071788,             0.00071788,             0.00071788
                    131,                  1.028,                0.71829,                 1.0271,                0.30808,                0.27855,                0.26963,                0.18613,                 1.8869,                 1.8088,                 1.4848,             0.00071375,             0.00071375,             0.00071375
                    132,                0.95938,                0.68886,                0.98441,                0.27934,                0.29003,                0.26319,                0.18781,                 1.9057,                  1.841,                  1.527,             0.00070962,             0.00070962,             0.00070962
                    133,                 1.0031,                0.73799,                0.96698,                0.28356,                0.28311,                0.26786,                0.18001,                 1.9243,                 1.9114,                 1.4821,              0.0007055,              0.0007055,              0.0007055
                    134,                 1.0155,                0.72778,                0.99722,                0.26527,                0.27466,                0.25873,                0.17813,                 1.8539,                 1.8476,                 1.4733,             0.00070137,             0.00070137,             0.00070137
                    135,                0.98565,                0.68185,                0.99241,                0.32681,                0.27346,                0.28193,                0.20123,                 1.9014,                 1.8652,                 1.4196,             0.00069725,             0.00069725,             0.00069725
                    136,                 1.0132,                0.69813,                0.98316,                0.34459,                0.28517,                0.28849,                0.19822,                 1.8921,                 1.9487,                 1.4425,             0.00069313,             0.00069313,             0.00069313
                    137,                 1.0093,                0.70666,                0.98608,                0.33828,                0.29503,                0.27283,                0.19368,                 1.8306,                 2.0128,                 1.4786,               0.000689,               0.000689,               0.000689
                    138,                 1.0157,                0.71146,                0.97715,                0.32008,                0.29846,                0.27679,                 0.1918,                 1.8512,                 2.0076,                 1.5069,             0.00068488,             0.00068488,             0.00068488
                    139,                 1.0362,                0.75509,                 0.9884,                0.31286,                0.29332,                 0.2697,                0.19102,                 1.8543,                 2.0476,                 1.4698,             0.00068075,             0.00068075,             0.00068075
                    140,                0.94334,                0.65609,                0.98936,                0.38525,                0.28008,                0.27537,                0.19664,                 1.8714,                 2.0363,                 1.4534,             0.00067663,             0.00067663,             0.00067663
